Date,US-Mexico Border,North Africa,Sub-Saharan Africa,Mediterranean,Horn of Africa
17-Nov-18,0,0,1,0,0
18-Nov-18,1,22,0,0,0
19-Nov-18,1,0,0,10,0
20-Nov-18,2,0,0,0,0
21-Nov-18,3,0,0,0,0
22-Nov-18,2,0,0,21,0
23-Nov-18,0,0,0,0,0
24-Nov-18,0,0,0,30,0
25-Nov-18,1,0,0,0,0
26-Nov-18,0,0,0,0,0
27-Nov-18,0,0,0,0,0
28-Nov-18,0,0,0,3,0
29-Nov-18,7,0,0,1,0
30-Nov-18,1,0,0,1,0
1-Dec-18,3,0,0,0,0
2-Dec-18,1,0,0,2,0
3-Dec-18,2,0,0,0,0
4-Dec-18,0,0,0,21,0
5-Dec-18,1,0,0,0,0
6-Dec-18,0,0,0,1,0
7-Dec-18,1,0,0,0,0
8-Dec-18,3,0,0,0,0
9-Dec-18,1,0,0,0,0
10-Dec-18,1,0,0,0,0
11-Dec-18,1,0,0,2,0
12-Dec-18,1,0,0,0,0
13-Dec-18,0,0,0,0,0
14-Dec-18,1,0,0,0,0
15-Dec-18,2,0,0,0,0
16-Dec-18,0,0,0,0,0
17-Dec-18,0,0,0,0,0
18-Dec-18,6,0,0,9,0
19-Dec-18,1,0,0,0,0
20-Dec-18,2,0,0,45,0
21-Dec-18,0,0,0,1,0
22-Dec-18,0,0,0,0,0
23-Dec-18,0,0,0,14,0
24-Dec-18,0,0,0,4,0
25-Dec-18,1,0,0,0,0
26-Dec-18,0,0,0,0,0
27-Dec-18,1,0,0,0,0
28-Dec-18,1,0,0,7,0
29-Dec-18,0,0,0,0,0
30-Dec-18,0,0,14,0,0
31-Dec-18,1,0,0,0,0
