Web ID,Region of Incident,Reported Date,Reported Year,Reported Month,Number Dead,Minimum Estimated Number of Missing,Total Dead and Missing,Number of Survivors,Number of Females,Number of Males,Number of Children,Cause of Death,Location Description,Information Source,Location Coordinates,Migration Route,URL,UNSD Geographical Grouping,Source Quality
51316,Sub-Saharan Africa,10-Sep-18,2018,Sep,1,,1,,1,,,Vehicle Accident,"Ferkessedougou, Cote d'Ivoire",Mixed Migration Monitoring Mechanism Initiative (4mi),"9.583333000000, -5.200000000000",,http://www.mixedmigration.org/4mi/,Western Africa,2
51317,Sub-Saharan Africa,10-Sep-18,2018,Sep,2,,2,,,2,,Vehicle Accident,"Sikasso, Mali",Mixed Migration Monitoring Mechanism Initiative (4mi),"11.316667000000, -5.666667000000",,http://www.mixedmigration.org/4mi/,Western Africa,2
51313,North Africa,9-Sep-18,2018,Sep,2,,2,,2,,1,Harsh conditions,"Sahara desert, Sudan, near the border with Egypt",Mixed Migration Monitoring Mechanism Initiative (4mi),"21.943709000000, 27.672666000000",,http://www.mixedmigration.org/4mi/,Northern Africa,2
51314,North Africa,9-Sep-18,2018,Sep,2,,2,,,2,,Vehicle Accident,"Unspecified location in the Sahara desert, Libya",Mixed Migration Monitoring Mechanism Initiative (4mi),"21.143170000000, 23.823002000000",,http://www.mixedmigration.org/4mi/,Northern Africa,2
51315,Sub-Saharan Africa,9-Sep-18,2018,Sep,6,,6,,1,1,,Vehicle Accident,"Chad, near border with Niger",Mixed Migration Monitoring Mechanism Initiative (4mi),"18.617049000000, 15.752160000000",,http://www.mixedmigration.org/4mi/,Central Africa,2
51311,Horn of Africa,6-Sep-18,2018,Sep,15,,15,,,15,,Starvation,"Near Hayu, on the way between Dikhil and Tadjoura, Djibouti",Mixed Migration Monitoring Mechanism Initiative (4mi),"11.668239000000, 42.691830000000",,http://www.mixedmigration.org/4mi/,Eastern Africa,2
51312,North Africa,6-Sep-18,2018,Sep,1,,1,,,1,,Excessive Physical Abuse,"Sahara desert near Atbara, Sudan",Mixed Migration Monitoring Mechanism Initiative (4mi),"18.074280000000, 34.434549000000",,http://www.mixedmigration.org/4mi/,Northern Africa,2
45905,Mediterranean,5-Sep-18,2018,Sep,5,,5,53,1,4,,Drowning,"62 miles south of Alboran Island, Alboran Sea, between Morocco and Spain","Salvamento Marítimo, Ideal, Caminando Fronteras","35.613574869223, -3.107125232813",Western Mediterranean,"https://bit.ly/2MVhjDX, https://bit.ly/2CrwRu0, https://www.facebook.com/helena.malenogarzon/posts/2081535261878780",Uncategorized,5
45906,Mediterranean,5-Sep-18,2018,Sep,,6,6,52,,,,Drowning,"Unspecified location in the Alboran Sea, between Morocco and Spain",Caminando Fronteras,"35.613805720401, -3.880978481250",Western Mediterranean,https://www.facebook.com/helena.malenogarzon/posts/2081535261878780,Uncategorized,4
45983,US-Mexico Border,4-Sep-18,2018,Sep,1,,1,,,1,,Uknown,"Pima County jurisdiction, Arizona, USA",Pima County Office of the Medical Examiner,"32.057701900000, -112.143021500000",Central America to US,http://www.humaneborders.info/,Northern America,5
45904,Mediterranean,3-Sep-18,2018,Sep,,5,5,30,,,,Drowning,"Unspecified location in the Alboran Sea, between Morocco and Spain",Caminando Fronteras,"35.876619034558, -3.354317615625",Western Mediterranean,"https://bit.ly/2Ch5DGy, https://bit.ly/2LXMTv4",Uncategorized,4
45909,US-Mexico Border,3-Sep-18,2018,Sep,1,,1,,,1,,Dehydration,"Ranch north of Laredo, Webb County, Texas, USA","Vox, Valor por Tamaulipas","27.622868783483, -99.356489888281",Central America to US,"https://bit.ly/2p5d3mO, https://bit.ly/2N6im3T",Northern America,3
46029,Mediterranean,3-Sep-18,2018,Sep,,61,61,,1,1,,Drowning,"Unspecified location in the Alboran Sea, between Morocco and Spain","Watch the Med - Alarmphone, Association Marocaine des Droits Humains - Section Nador","35.752123340697, -4.375363246875",Western Mediterranean,"https://www.facebook.com/watchthemed.alarmphone/posts/2216612265279671, https://www.facebook.com/AmdhNador/posts/2201518753393721",Uncategorized,4
45903,US-Mexico Border,2-Sep-18,2018,Sep,1,,1,,,,,Uknown,"Ranch near Armstrong, Kenedy County, Texas, USA",US Border Patrol,"26.883280977966, -97.855127623242",Central America to US,https://bit.ly/2oKGTNj,Northern America,5
51310,Sub-Saharan Africa,2-Sep-18,2018,Sep,3,,3,,1,1,,Vehicle Accident,"Yamoussoukro, Cote d'Ivoire",Mixed Migration Monitoring Mechanism Initiative (4mi),"6.816667000000, -5.283333000000",,http://www.mixedmigration.org/4mi/,Western Africa,2
45917,Mediterranean,1-Sep-18,2018,Sep,2,128,130,55,1,1,20,Drowning,"Off the coast of Al Khums, Libya","Médecins sans Frontières, UNHCR, IOM Italy","32.724921395263, 14.348923069922",Central Mediterranean,"https://bit.ly/2x0ZNnI, https://bit.ly/2NKMePw, https://bit.ly/2p2iva8",Uncategorized,4
49265,US-Mexico Border,1-Sep-18,2018,Sep,1,,1,,,1,,Uknown,"Private ranch, 10 to 12 miles SW of Fort Davis, Jeff Davis County, Texas, USA",Jeff Davis County Sheriff's Office,"30.567538988812, -103.987322443550",,,Northern America,5
45902,US-Mexico Border,31-Aug-18,2018,Aug,1,,1,,,1,,Drowning,"Río Bravo, near 1300 Military Road, San Juan, Hidalgo County, Texas, USA","US Border Patrol, Hidalgo County Sheriff's Office","26.065587500000, -98.166589500000",Central America to US,https://bit.ly/2oKGTNj,Northern America,5
45895,US-Mexico Border,30-Aug-18,2018,Aug,1,,1,,,1,,Drowning,"Río Bravo, near International Bridge II, Eagle Pass, Maverick County, Texas, USA",Zócalo,"28.698480107631, -100.510242529640",Central America to US,https://bit.ly/2NKOxSv,Northern America,1
45893,Horn of Africa,29-Aug-18,2018,Aug,33,,33,326,11,22,,Drowning,"Off the coast of Nashmia, district of Rudum, Shabwa Governorate, Yemen","IOM Yemen, Xinhua, Sahafaty, Hayatweb, 7adramout","13.928812408127, 48.993845334375",Horn Africa to Yemen,"https://bit.ly/2NFSTKN, https://bit.ly/2MHzFb3, https://bit.ly/2PqlLXZ, https://bit.ly/2LQCCkk",Western Asia,4
45894,US-Mexico Border,29-Aug-18,2018,Aug,1,,1,,,1,,Dehydration,"Ranch near USBP Checkpoint Highway 83, Webb County, Texas, USA",US Border Patrol via Breitbart,"28.004407539922, -99.567097186816",Central America to US,https://bit.ly/2LSo1oH,Northern America,1
46020,US-Mexico Border,29-Aug-18,2018,Aug,1,,1,,,1,,Uknown,"Pima County, Arizona, USA",Pima County Office of the Medical Examiner,"32.057701900000, -112.143021500000",Central America to US,http://www.humaneborders.info/app/map.asp,Northern America,5
46028,Mediterranean,29-Aug-18,2018,Aug,13,39,52,,6,,,Drowning,"Unspecified location in the Alboran Sea, between Morocco and Spain. Bodies recovered near Marsa Ben M’hidi, Tlemcen, Algeria and Plage de Saïdia, Morocco","Watch the Med - Alarmphone, Le Quotidien d'Oran, Liberté Algérie","35.173443204721, -2.208013621094",Western Mediterranean,"https://www.facebook.com/watchthemed.alarmphone/posts/2216612265279671, https://bit.ly/2Ah4I5O, https://bit.ly/2EpdbIe, https://bit.ly/2N3di01, https://bit.ly/2CJcys7",Uncategorized,4
51308,Horn of Africa,29-Aug-18,2018,Aug,1,,1,,,1,,Starvation,"Galaffi, Djibouti, near border with Ethiopia",Mixed Migration Monitoring Mechanism Initiative (4mi),"11.719698000000, 41.838791000000",,http://www.mixedmigration.org/4mi/,Eastern Africa,2
